,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
78,325000.0,4 bedroom detached house for sale,"Wells Grove, Durham, DH1",http://www.rightmove.co.uk/properties/119061029#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Strike/Tyne-Tees-and-Border-223625.html,DH1,4.0,2022-02-19 23:43:34.882786
79,325000.0,4 bedroom detached house for sale,"Cambridgeshire Drive, Durham, DH1",http://www.rightmove.co.uk/properties/110019221#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/YOUR-MOVE-Chris-Stonock/Durham-83353.html,DH1,4.0,2022-02-19 23:43:34.882786
80,325000.0,3 bedroom semi-detached house for sale,"Geoffrey Avenue, Nevilles Cross, Durham, DH1",http://www.rightmove.co.uk/properties/119049401#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH1,3.0,2022-02-19 23:43:34.882786
81,320000.0,2 bedroom detached house for sale,"Maynards Row, Durham City",http://www.rightmove.co.uk/properties/113571299#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Stuart-Edwards/Durham-41828.html,,2.0,2022-02-19 23:43:34.882786
82,320000.0,5 bedroom semi-detached house for sale,"Brookdale, Belmont, Durham",http://www.rightmove.co.uk/properties/120154874#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Robinsons/Durham-42734.html,,5.0,2022-02-19 23:43:34.882786
83,300000.0,3 bedroom end of terrace house for sale,"Magdalene Heights, Gilesgate, Durham, DH1",http://www.rightmove.co.uk/properties/118023365#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Durham-City-36036.html,DH1,3.0,2022-02-19 23:43:34.882786
84,300000.0,3 bedroom detached bungalow for sale,"Alderlea Close, Gilesgate, Durham",http://www.rightmove.co.uk/properties/119978525#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Robinsons/Durham-42734.html,,3.0,2022-02-19 23:43:34.882786
85,300000.0,2 bedroom terraced house for sale,"Harvest View, Hag House Farm, Pity Me, Durham, DH1",http://www.rightmove.co.uk/properties/117166988#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ben-Charles/Durham-83492.html,DH1,2.0,2022-02-19 23:43:34.882786
86,300000.0,3 bedroom semi-detached house for sale,"Moor Edge, Crossgate Moor, Durham, DH1",http://www.rightmove.co.uk/properties/120160739#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/YOUR-MOVE-Chris-Stonock/Durham-83353.html,DH1,3.0,2022-02-19 23:43:34.882786
87,300000.0,4 bedroom detached house for sale,"Chillingham Road, Newton Hall, Durham",http://www.rightmove.co.uk/properties/119091455#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Newfield-Estates/Durham-109595.html,,4.0,2022-02-19 23:43:34.882786
88,295000.0,3 bedroom semi-detached house for sale,"Dryburn Road, Durham, DH1",http://www.rightmove.co.uk/properties/119516660#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/YOUR-MOVE-Chris-Stonock/Durham-83353.html,DH1,3.0,2022-02-19 23:43:34.882786
